Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
MQTT Connect,1000,286,0,488,732,9813,0,13104,80.000%,24.78622,0.87,0.00
MQTT Pub,1000,0,0,1,1,2,0,32,0.100%,25.05324,0.49,0.90
MQTT Sub Sampler,1520,0,0,0,0,0,0,0,0.066%,38.08092,1.38,0.00
TOTAL,3520,81,0,1,399,1067,0,13104,22.784%,87.02101,2.71,0.89
