Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
MQTT Connect,1000,286,0,13104,1255.86,80.000%,24.78622,0.87,0.00,35.8
MQTT Pub,1000,0,0,32,1.17,0.100%,25.05324,0.49,0.90,20.0
MQTT Sub Sampler,1520,0,0,0,0.00,0.066%,38.08092,1.38,0.00,37.0
TOTAL,3520,81,0,13104,681.71,22.784%,87.02101,2.71,0.89,31.8
