Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
MQTT Connect,250,12242,0,30014,14279.89,82.000%,1.50249,0.06,0.00,41.0
MQTT Pub,250,0,0,4,0.52,35.600%,1.50661,0.05,0.04,31.7
MQTT Sub Sampler,235,0,0,0,0.00,37.872%,1.41626,0.06,0.00,43.8
TOTAL,735,4164,0,30014,10148.85,52.109%,4.41465,0.17,0.03,38.8
