Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
MQTT Connect,250,12242,654,30004,30004,30006,0,30014,82.000%,1.50249,0.06,0.00
MQTT Pub,250,0,0,1,1,3,0,4,35.600%,1.50661,0.05,0.04
MQTT Sub Sampler,235,0,0,0,0,0,0,0,37.872%,1.41626,0.06,0.00
TOTAL,735,4164,0,30002,30003,30005,0,30014,52.109%,4.41465,0.17,0.03
