Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
MQTT Connect,500,136,0,443,484,1129,0,9810,80.000%,19.06578,0.67,0.00
MQTT Pub,500,0,0,1,1,1,0,4,0.000%,19.42200,0.38,0.70
MQTT Sub Sampler,825,0,0,0,0,0,0,0,0.000%,32.04132,1.16,0.00
TOTAL,1825,37,0,1,375,667,0,9810,21.918%,69.31257,2.17,0.69
