Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
MQTT Connect,500,136,0,9810,563.36,80.000%,19.06578,0.67,0.00,35.8
MQTT Pub,500,0,0,4,0.49,0.000%,19.42200,0.38,0.70,20.0
MQTT Sub Sampler,825,0,0,0,0.00,0.000%,32.04132,1.16,0.00,37.0
TOTAL,1825,37,0,9810,301.11,21.918%,69.31257,2.17,0.69,32.0
