Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
MQTT Connect,2500,571,0,30004,2117.96,72.080%,10.29463,0.34,0.00,33.5
MQTT Pub,2500,0,0,32,0.85,1.440%,10.31285,0.21,0.37,20.5
MQTT Sub Sampler,2111,0,0,0,0.00,1.705%,8.71194,0.32,0.00,37.3
TOTAL,7111,201,0,30004,1285.10,26.354%,29.28193,0.86,0.37,30.1
